Timestamp (ms),Humidity (%),Temperature (°C),Temperature (°F)
0,44.97,25.14,77.25
2000,44.95,25.02,77.04
4000,45.26,24.98,76.96
6000,45.03,25.01,77.02
8000,44.94,24.9,76.82
10000,44.68,24.96,76.93
12000,44.47,25.05,77.09
14000,44.24,25.26,77.47
16000,44.15,25.33,77.59
18000,43.94,25.4,77.72
20000,44.0,25.15,77.27
22000,44.17,25.24,77.43
24000,44.11,25.37,77.67
26000,44.13,25.36,77.65
28000,44.33,25.43,77.77
30000,44.54,25.41,77.74
32000,44.1,25.51,77.92
34000,44.24,25.54,77.97
36000,44.06,25.48,77.86
38000,43.93,25.63,78.13
40000,43.88,25.68,78.22
42000,43.81,25.65,78.17
44000,43.92,25.63,78.13
46000,43.93,25.72,78.3
48000,44.05,25.67,78.21
50000,43.95,25.64,78.15
52000,43.91,25.6,78.08
54000,43.9,25.52,77.94
56000,43.68,25.59,78.06
58000,43.83,25.6,78.08
60000,43.67,25.46,77.83
62000,43.78,25.41,77.74
64000,43.93,25.44,77.79
66000,43.8,25.47,77.85
68000,43.74,25.39,77.7
70000,43.62,25.34,77.61
72000,43.69,25.34,77.61
74000,43.28,25.18,77.32
76000,43.31,25.27,77.49
78000,43.23,25.38,77.68
80000,43.41,25.34,77.61
82000,43.45,25.46,77.83
84000,43.43,25.38,77.68
86000,43.7,25.37,77.67
88000,43.54,25.5,77.9
90000,43.44,25.58,78.04
92000,43.39,25.76,78.37
94000,43.2,25.85,78.53
96000,43.11,25.9,78.62
98000,43.07,25.96,78.73
100000,43.32,25.94,78.69
102000,43.71,25.87,78.57
104000,43.97,25.85,78.53
106000,44.15,25.88,78.58
108000,43.64,25.79,78.42
110000,43.56,25.94,78.69
112000,43.44,26.0,78.8
114000,43.54,26.17,79.11
116000,43.76,25.99,78.78
118000,43.5,26.05,78.89
120000,43.81,26.12,79.02
122000,43.95,26.06,78.91
124000,43.76,26.01,78.82
126000,43.2,26.01,78.82
128000,43.13,26.03,78.85
130000,43.18,26.01,78.82
132000,43.51,26.14,79.05
134000,43.86,26.2,79.16
136000,43.88,26.4,79.52
138000,43.82,26.31,79.36
140000,43.74,26.24,79.23
142000,43.68,26.12,79.02
144000,43.27,25.98,78.76
146000,43.02,26.04,78.87
148000,43.14,26.04,78.87
150000,43.22,26.25,79.25
152000,43.54,26.3,79.34
154000,43.61,26.44,79.59
156000,43.65,26.35,79.43
158000,43.53,26.29,79.32
160000,43.54,26.17,79.11
162000,43.22,26.25,79.25
164000,43.03,26.14,79.05
166000,43.02,26.24,79.23
168000,42.94,26.29,79.32
170000,42.95,26.24,79.23
172000,42.89,26.23,79.21
174000,42.9,26.3,79.34
176000,42.7,26.21,79.18
178000,42.53,26.17,79.11
180000,42.28,26.28,79.3
182000,42.05,26.2,79.16
184000,42.28,26.32,79.38
186000,42.31,26.32,79.38
188000,42.15,26.31,79.36
190000,42.37,26.27,79.29
192000,42.67,26.31,79.36
194000,42.65,26.07,78.93
196000,42.66,26.03,78.85
198000,42.82,26.07,78.93
200000,42.9,26.03,78.85
202000,43.02,26.09,78.96
204000,42.87,25.95,78.71
206000,42.67,25.95,78.71
208000,42.59,25.96,78.73
210000,42.37,25.82,78.48
212000,42.76,25.71,78.28
214000,42.89,25.64,78.15
216000,42.76,25.63,78.13
218000,42.79,25.76,78.37
220000,42.91,25.64,78.15
222000,42.51,25.57,78.03
224000,43.02,25.57,78.03
226000,43.37,25.54,77.97
228000,43.39,25.44,77.79
230000,42.94,25.32,77.58
232000,43.05,25.5,77.9
234000,42.71,25.62,78.12
236000,42.64,25.7,78.26
238000,42.42,25.82,78.48
240000,42.56,25.83,78.49
242000,42.67,25.67,78.21
244000,42.96,25.63,78.13
246000,43.01,25.94,78.69
248000,43.04,25.99,78.78
250000,43.02,26.08,78.94
252000,42.71,26.04,78.87
254000,42.96,25.9,78.62
256000,42.93,25.68,78.22
258000,43.17,25.57,78.03
260000,42.82,25.58,78.04
262000,42.56,25.49,77.88
264000,42.52,25.66,78.19
266000,42.76,25.64,78.15
268000,42.54,25.57,78.03
270000,42.42,25.62,78.12
272000,42.68,25.64,78.15
274000,42.76,25.78,78.4
276000,42.59,25.79,78.42
278000,42.67,25.7,78.26
280000,42.53,25.77,78.39
282000,42.59,26.0,78.8
284000,42.82,26.04,78.87
286000,43.08,26.1,78.98
288000,43.07,25.88,78.58
290000,43.29,25.87,78.57
292000,43.65,25.91,78.64
294000,43.59,25.81,78.46
296000,43.51,25.78,78.4
298000,43.27,25.73,78.31
300000,43.1,25.64,78.15
302000,43.42,25.65,78.17
304000,43.53,25.75,78.35
306000,43.81,25.76,78.37
308000,43.71,25.92,78.66
310000,44.09,25.83,78.49
312000,44.22,25.71,78.28
314000,44.02,25.49,77.88
316000,43.74,25.55,77.99
318000,43.52,25.46,77.83
320000,43.94,25.48,77.86
322000,43.88,25.42,77.76
324000,44.11,25.52,77.94
326000,43.79,25.57,78.03
328000,43.74,25.66,78.19
330000,43.41,25.86,78.55
332000,43.5,25.71,78.28
334000,43.68,25.79,78.42
336000,43.44,25.72,78.3
338000,43.18,25.64,78.15
340000,43.3,25.5,77.9
342000,43.11,25.31,77.56
344000,43.27,25.21,77.38
346000,43.04,25.24,77.43
348000,43.11,25.25,77.45
350000,42.77,25.26,77.47
352000,42.66,25.32,77.58
354000,42.47,25.27,77.49
356000,42.11,25.17,77.31
358000,42.09,25.16,77.29
360000,42.03,25.14,77.25
362000,42.06,25.07,77.13
364000,42.43,25.05,77.09
366000,42.37,25.22,77.4
368000,42.66,25.04,77.07
370000,42.59,25.04,77.07
372000,42.58,25.16,77.29
374000,42.39,25.13,77.23
376000,42.22,24.89,76.8
378000,42.12,24.87,76.77
380000,42.22,24.72,76.5
382000,42.26,24.6,76.28
384000,42.32,24.66,76.39
386000,42.06,24.52,76.14
388000,41.92,24.56,76.21
390000,41.95,24.54,76.17
392000,42.06,24.6,76.28
394000,41.93,24.55,76.19
396000,41.71,24.64,76.35
398000,41.78,24.6,76.28
400000,42.0,24.58,76.24
402000,41.7,24.58,76.24
404000,41.47,24.59,76.26
406000,41.55,24.5,76.1
408000,41.26,24.7,76.46
410000,41.32,24.79,76.62
412000,41.23,24.88,76.78
414000,40.92,24.78,76.6
416000,40.78,24.64,76.35
418000,40.77,24.77,76.59
420000,40.66,25.02,77.04
422000,40.67,24.98,76.96
424000,40.46,25.04,77.07
426000,40.19,25.1,77.18
428000,40.17,25.14,77.25
430000,40.24,25.17,77.31
432000,39.81,25.13,77.23
434000,39.92,25.02,77.04
436000,40.06,25.04,77.07
438000,39.81,25.29,77.52
440000,39.87,25.31,77.56
442000,39.7,25.3,77.54
444000,39.61,25.36,77.65
446000,39.61,25.49,77.88
448000,39.47,25.34,77.61
450000,39.59,25.35,77.63
452000,39.51,25.49,77.88
454000,39.5,25.66,78.19
456000,39.04,25.65,78.17
458000,39.17,25.48,77.86
460000,39.07,25.39,77.7
462000,38.74,25.36,77.65
464000,38.9,25.36,77.65
466000,38.75,25.37,77.67
468000,39.01,25.41,77.74
470000,39.21,25.55,77.99
472000,39.01,25.66,78.19
474000,39.05,25.61,78.1
476000,39.3,25.61,78.1
478000,39.2,25.58,78.04
480000,39.38,25.65,78.17
482000,39.22,25.54,77.97
484000,39.14,25.58,78.04
486000,38.88,25.57,78.03
488000,39.0,25.63,78.13
490000,38.91,25.36,77.65
492000,38.69,25.47,77.85
494000,38.67,25.52,77.94
496000,38.67,25.58,78.04
498000,38.79,25.65,78.17
500000,39.07,25.71,78.28
502000,39.14,25.74,78.33
504000,39.29,25.79,78.42
506000,39.22,25.76,78.37
508000,39.0,25.66,78.19
510000,38.8,25.74,78.33
512000,38.61,25.65,78.17
514000,38.94,25.7,78.26
516000,39.03,25.77,78.39
518000,39.28,25.81,78.46
520000,39.15,25.83,78.49
522000,39.23,25.74,78.33
524000,38.99,25.88,78.58
526000,38.83,26.06,78.91
528000,38.99,26.23,79.21
530000,39.09,26.2,79.16
532000,38.98,26.27,79.29
534000,38.74,26.3,79.34
536000,39.07,26.38,79.48
538000,39.2,26.47,79.65
540000,39.2,26.52,79.74
542000,39.18,26.45,79.61
544000,39.6,26.58,79.84
546000,39.65,26.51,79.72
548000,39.65,26.61,79.9
550000,39.68,26.67,80.01
552000,40.09,26.64,79.95
554000,40.25,26.79,80.22
556000,40.13,26.73,80.11
558000,39.83,26.85,80.33
560000,40.05,26.84,80.31
562000,39.83,26.81,80.26
564000,40.13,26.84,80.31
566000,40.3,26.7,80.06
568000,40.3,26.57,79.83
570000,40.57,26.57,79.83
572000,40.66,26.72,80.1
574000,40.75,26.66,79.99
576000,40.75,26.62,79.92
578000,40.71,26.66,79.99
580000,40.97,26.56,79.81
582000,41.33,26.65,79.97
584000,41.19,26.82,80.28
586000,41.03,26.86,80.35
588000,41.03,26.78,80.2
590000,40.86,26.71,80.08
592000,41.03,26.72,80.1
594000,40.94,26.81,80.26
596000,40.47,26.73,80.11
598000,40.36,26.78,80.2
600000,40.49,26.85,80.33
602000,40.52,26.89,80.4
604000,40.3,26.9,80.42
606000,40.23,27.06,80.71
608000,40.24,27.08,80.74
610000,40.29,27.14,80.85
612000,40.06,27.12,80.82
614000,40.41,27.11,80.8
616000,40.3,26.85,80.33
618000,40.41,26.92,80.46
620000,40.46,26.95,80.51
622000,40.44,26.78,80.2
624000,40.43,26.87,80.37
626000,40.41,26.73,80.11
628000,40.49,26.92,80.46
630000,40.75,26.91,80.44
632000,40.83,27.15,80.87
634000,41.06,27.3,81.14
636000,41.52,27.35,81.23
638000,41.2,27.47,81.45
640000,41.46,27.55,81.59
642000,41.54,27.4,81.32
644000,41.04,27.35,81.23
646000,40.92,27.32,81.18
648000,40.92,27.35,81.23
650000,40.93,27.33,81.19
652000,40.8,27.28,81.1
654000,40.36,27.16,80.89
656000,40.04,27.29,81.12
658000,39.74,27.29,81.12
660000,39.91,27.38,81.28
662000,40.25,27.61,81.7
664000,40.23,27.7,81.86
666000,40.2,27.69,81.84
668000,39.8,27.77,81.99
670000,39.87,27.61,81.7
672000,39.52,27.58,81.64
674000,39.45,27.53,81.55
676000,39.3,27.49,81.48
678000,39.22,27.68,81.82
680000,39.38,27.69,81.84
682000,39.36,27.76,81.97
684000,39.28,27.82,82.08
686000,39.52,27.66,81.79
688000,39.19,27.7,81.86
690000,39.13,27.58,81.64
692000,39.56,27.51,81.52
694000,39.63,27.51,81.52
696000,39.33,27.4,81.32
698000,39.26,27.23,81.01
700000,39.55,27.46,81.43
702000,39.38,27.55,81.59
704000,39.49,27.48,81.46
706000,39.86,27.33,81.19
708000,39.84,27.34,81.21
710000,39.86,27.49,81.48
712000,40.0,27.57,81.63
714000,40.07,27.43,81.37
716000,40.09,27.41,81.34
718000,40.37,27.45,81.41
720000,40.54,27.44,81.39
722000,40.34,27.34,81.21
724000,40.11,27.12,80.82
726000,40.08,27.06,80.71
728000,40.2,27.15,80.87
730000,40.28,27.15,80.87
732000,40.26,27.13,80.83
734000,40.63,26.95,80.51
736000,40.5,26.97,80.55
738000,40.72,26.78,80.2
740000,40.81,26.57,79.83
742000,41.28,26.5,79.7
744000,41.29,26.59,79.86
746000,41.55,26.6,79.88
748000,41.83,26.5,79.7
750000,41.37,26.42,79.56
752000,41.43,26.48,79.66
754000,41.35,26.53,79.75
756000,41.24,26.56,79.81
758000,41.14,26.4,79.52
760000,41.27,26.49,79.68
762000,41.35,26.48,79.66
764000,41.26,26.43,79.57
766000,41.48,26.36,79.45
768000,41.61,26.42,79.56
770000,41.36,26.36,79.45
772000,41.22,26.41,79.54
774000,41.42,26.5,79.7
776000,41.55,26.66,79.99
778000,41.52,26.62,79.92
780000,41.63,26.55,79.79
782000,41.71,26.65,79.97
784000,41.59,26.74,80.13
786000,41.55,26.79,80.22
788000,42.0,26.62,79.92
790000,41.91,26.55,79.79
792000,41.72,26.52,79.74
794000,41.87,26.54,79.77
796000,41.83,26.59,79.86
798000,41.78,26.45,79.61
800000,41.76,26.42,79.56
802000,41.55,26.29,79.32
804000,41.66,26.3,79.34
806000,41.58,26.38,79.48
808000,41.4,26.44,79.59
810000,40.99,26.43,79.57
812000,40.68,26.45,79.61
814000,40.46,26.36,79.45
816000,40.67,26.46,79.63
818000,40.52,26.39,79.5
820000,40.35,26.39,79.5
822000,40.22,26.25,79.25
824000,40.08,26.34,79.41
826000,39.93,26.26,79.27
828000,40.11,26.2,79.16
830000,40.0,26.26,79.27
832000,40.18,26.36,79.45
834000,40.37,26.18,79.12
836000,40.56,26.17,79.11
838000,40.33,26.25,79.25
840000,40.46,26.22,79.2
842000,40.45,26.21,79.18
844000,40.66,26.21,79.18
846000,40.77,26.31,79.36
848000,41.2,26.25,79.25
850000,40.86,26.12,79.02
852000,41.11,26.12,79.02
854000,41.53,26.12,79.02
856000,41.63,26.25,79.25
858000,41.53,26.22,79.2
860000,41.63,26.26,79.27
862000,41.93,26.13,79.03
864000,42.01,26.19,79.14
866000,42.13,26.15,79.07
868000,41.87,26.14,79.05
870000,42.05,26.07,78.93
872000,42.09,26.13,79.03
874000,42.18,26.13,79.03
876000,42.17,26.19,79.14
878000,42.08,26.34,79.41
880000,41.79,26.25,79.25
882000,41.91,26.33,79.39
884000,41.8,26.38,79.48
886000,41.83,26.4,79.52
888000,41.82,26.47,79.65
890000,41.59,26.67,80.01
892000,41.52,26.81,80.26
894000,41.6,26.72,80.1
896000,41.67,26.63,79.93
898000,41.6,26.61,79.9
900000,41.78,26.71,80.08
902000,41.82,26.73,80.11
904000,41.84,26.78,80.2
906000,41.43,26.98,80.56
908000,41.65,26.88,80.38
910000,41.78,26.82,80.28
912000,41.98,26.67,80.01
914000,42.38,26.75,80.15
916000,42.54,26.81,80.26
918000,42.3,26.82,80.28
920000,42.52,26.92,80.46
922000,42.43,26.9,80.42
924000,42.77,26.76,80.17
926000,42.69,26.79,80.22
928000,42.37,26.79,80.22
930000,42.47,26.82,80.28
932000,42.07,27.06,80.71
934000,42.21,26.99,80.58
936000,42.26,26.91,80.44
938000,42.03,26.87,80.37
940000,42.01,27.03,80.65
942000,42.16,26.99,80.58
944000,42.4,27.12,80.82
946000,42.29,27.16,80.89
948000,42.5,27.24,81.03
950000,42.38,27.33,81.19
952000,42.6,27.33,81.19
954000,42.61,27.25,81.05
956000,42.63,27.27,81.09
958000,42.73,27.24,81.03
960000,42.87,27.17,80.91
962000,42.83,26.97,80.55
964000,42.53,26.79,80.22
966000,42.77,26.71,80.08
968000,42.6,26.68,80.02
970000,42.49,26.66,79.99
972000,42.45,26.93,80.47
974000,42.05,26.76,80.17
976000,42.39,26.87,80.37
978000,42.36,27.12,80.82
980000,42.2,27.01,80.62
982000,42.61,27.05,80.69
984000,42.74,27.18,80.92
986000,42.86,27.28,81.1
988000,42.99,27.41,81.34
990000,43.11,27.36,81.25
992000,43.09,27.36,81.25
994000,43.17,27.09,80.76
996000,43.37,26.96,80.53
998000,43.62,26.99,80.58
1000000,43.52,26.95,80.51
1002000,43.69,26.8,80.24
1004000,43.7,26.71,80.08
1006000,43.56,26.83,80.29
1008000,43.61,26.8,80.24
1010000,44.0,26.77,80.19
1012000,44.33,26.8,80.24
1014000,44.38,26.9,80.42
1016000,44.22,26.86,80.35
1018000,44.31,26.74,80.13
1020000,44.53,26.72,80.1
1022000,44.37,26.54,79.77
1024000,44.28,26.67,80.01
1026000,44.19,26.57,79.83
1028000,44.27,26.52,79.74
1030000,44.46,26.33,79.39
1032000,44.78,26.3,79.34
1034000,44.89,26.18,79.12
1036000,44.76,26.33,79.39
1038000,44.89,26.37,79.47
1040000,44.76,26.34,79.41
1042000,44.61,26.28,79.3
1044000,44.42,26.29,79.32
1046000,44.34,26.41,79.54
1048000,44.4,26.49,79.68
1050000,44.11,26.29,79.32
1052000,44.27,26.19,79.14
1054000,44.33,26.22,79.2
1056000,44.18,26.23,79.21
1058000,44.24,26.27,79.29
1060000,44.24,26.43,79.57
1062000,44.18,26.48,79.66
1064000,44.24,26.39,79.5
1066000,44.07,26.4,79.52
1068000,43.99,26.56,79.81
1070000,43.81,26.65,79.97
1072000,44.04,26.71,80.08
1074000,44.0,26.73,80.11
1076000,44.17,26.69,80.04
1078000,44.02,26.64,79.95
1080000,44.15,26.85,80.33
1082000,44.2,26.8,80.24
1084000,44.13,26.82,80.28
1086000,44.17,26.85,80.33
1088000,44.12,26.79,80.22
1090000,43.77,26.84,80.31
1092000,43.74,26.9,80.42
1094000,43.18,27.03,80.65
1096000,43.93,27.01,80.62
1098000,43.96,27.04,80.67
1100000,43.77,27.22,81.0
1102000,43.26,27.49,81.48
1104000,43.18,27.43,81.37
1106000,42.92,27.5,81.5
1108000,42.99,27.43,81.37
1110000,42.89,27.31,81.16
1112000,43.09,27.15,80.87
1114000,43.48,27.33,81.19
1116000,43.24,27.43,81.37
1118000,43.52,27.47,81.45
1120000,43.7,27.61,81.7
1122000,43.77,27.54,81.57
1124000,43.92,27.37,81.27
1126000,43.87,27.09,80.76
1128000,43.84,27.07,80.73
1130000,43.96,26.96,80.53
1132000,43.99,26.74,80.13
1134000,44.14,26.8,80.24
1136000,44.28,26.99,80.58
1138000,44.25,26.98,80.56
1140000,44.53,26.92,80.46
1142000,44.44,27.0,80.6
1144000,44.55,26.79,80.22
1146000,44.43,26.76,80.17
1148000,44.42,26.74,80.13
1150000,44.08,26.79,80.22
1152000,44.36,26.85,80.33
1154000,44.32,26.74,80.13
1156000,44.34,26.62,79.92
1158000,44.17,26.5,79.7
1160000,43.77,26.47,79.65
1162000,43.64,26.51,79.72
1164000,43.59,26.61,79.9
1166000,43.67,26.48,79.66
1168000,43.48,26.23,79.21
1170000,43.59,26.09,78.96
1172000,43.73,26.2,79.16
1174000,44.0,26.15,79.07
1176000,44.09,26.19,79.14
1178000,44.03,26.17,79.11
1180000,44.26,26.16,79.09
1182000,44.39,26.2,79.16
1184000,44.29,26.1,78.98
1186000,44.48,26.1,78.98
1188000,44.43,26.22,79.2
1190000,44.66,26.31,79.36
1192000,45.06,26.29,79.32
1194000,44.94,26.21,79.18
1196000,44.98,26.25,79.25
1198000,45.3,26.15,79.07
1200000,45.3,26.24,79.23
1202000,45.53,26.31,79.36
1204000,45.48,26.19,79.14
1206000,45.73,26.22,79.2
1208000,45.51,26.3,79.34
1210000,45.52,26.29,79.32
1212000,45.74,26.27,79.29
1214000,45.91,26.3,79.34
1216000,45.79,26.48,79.66
