Timestamp (ms),Humidity (%),Temperature (°C),Temperature (°F)
1218000,45.84,26.43,79.57
1220000,45.74,26.39,79.5
1222000,45.9,26.29,79.32
1224000,45.9,26.38,79.48
1226000,45.89,26.32,79.38
1228000,46.06,26.24,79.23
1230000,46.15,26.32,79.38
1232000,45.8,26.01,78.82
1234000,45.91,25.92,78.66
1236000,45.79,25.97,78.75
1238000,45.99,26.01,78.82
1240000,45.89,26.04,78.87
1242000,45.52,26.13,79.03
1244000,45.8,26.12,79.02
1246000,45.84,26.04,78.87
1248000,45.61,26.11,79.0
1250000,45.59,26.28,79.3
1252000,45.32,26.23,79.21
1254000,45.66,26.25,79.25
1256000,45.8,26.27,79.29
1258000,46.12,26.31,79.36
1260000,46.42,26.23,79.21
1262000,46.7,26.18,79.12
1264000,46.74,26.03,78.85
1266000,46.78,25.89,78.6
1268000,46.95,25.82,78.48
1270000,46.7,25.8,78.44
1272000,46.64,25.79,78.42
1274000,46.76,25.86,78.55
1276000,46.81,25.84,78.51
1278000,46.73,25.94,78.69
1280000,46.53,25.86,78.55
1282000,46.43,25.91,78.64
1284000,46.64,25.61,78.1
1286000,46.42,25.53,77.95
1288000,46.3,25.44,77.79
1290000,46.24,25.39,77.7
1292000,46.27,25.56,78.01
1294000,46.27,25.77,78.39
1296000,46.17,25.62,78.12
1298000,46.14,25.7,78.26
1300000,46.13,25.64,78.15
1302000,46.12,25.66,78.19
1304000,45.81,25.69,78.24
1306000,45.86,25.76,78.37
1308000,45.74,25.81,78.46
1310000,45.99,25.69,78.24
1312000,46.38,25.76,78.37
1314000,46.5,25.72,78.3
1316000,46.4,25.69,78.24
1318000,46.5,25.76,78.37
1320000,46.95,25.8,78.44
1322000,46.6,25.74,78.33
1324000,46.64,25.73,78.31
1326000,46.45,25.76,78.37
1328000,46.49,25.68,78.22
1330000,46.59,25.7,78.26
1332000,46.89,25.81,78.46
1334000,47.2,25.64,78.15
1336000,47.19,25.73,78.31
1338000,47.01,25.7,78.26
1340000,46.89,25.92,78.66
1342000,47.11,25.75,78.35
1344000,47.12,25.86,78.55
1346000,47.17,25.81,78.46
1348000,47.1,25.79,78.42
1350000,47.26,25.78,78.4
1352000,47.05,25.79,78.42
1354000,47.01,25.9,78.62
1356000,46.79,25.9,78.62
1358000,46.98,26.06,78.91
1360000,47.15,26.03,78.85
1362000,47.05,26.15,79.07
1364000,47.25,26.16,79.09
1366000,47.56,26.17,79.11
1368000,47.57,26.28,79.3
1370000,47.85,26.19,79.14
1372000,47.69,26.15,79.07
1374000,47.65,26.2,79.16
1376000,47.67,26.16,79.09
1378000,47.56,26.24,79.23
1380000,47.37,26.23,79.21
1382000,47.28,26.21,79.18
1384000,47.26,26.15,79.07
1386000,47.36,26.14,79.05
1388000,47.31,26.24,79.23
1390000,47.29,26.26,79.27
1392000,47.59,26.15,79.07
1394000,47.55,26.1,78.98
1396000,47.74,26.26,79.27
1398000,47.65,26.23,79.21
1400000,47.69,26.19,79.14
1402000,47.9,26.15,79.07
1404000,47.81,26.37,79.47
1406000,48.0,26.25,79.25
1408000,47.88,26.08,78.94
1410000,48.19,26.06,78.91
1412000,48.28,25.91,78.64
1414000,47.99,25.77,78.39
1416000,48.1,25.84,78.51
1418000,48.06,25.82,78.48
1420000,48.12,25.89,78.6
1422000,48.11,25.89,78.6
1424000,48.08,25.96,78.73
1426000,48.11,25.93,78.67
1428000,47.83,26.04,78.87
1430000,48.1,25.97,78.75
1432000,48.01,25.9,78.62
1434000,47.97,25.82,78.48
1436000,47.75,25.72,78.3
1438000,47.68,25.77,78.39
1440000,47.66,25.69,78.24
1442000,47.38,25.63,78.13
1444000,47.47,25.51,77.92
1446000,47.08,25.52,77.94
1448000,47.15,25.42,77.76
1450000,47.37,25.34,77.61
1452000,47.2,25.31,77.56
1454000,47.51,25.32,77.58
1456000,47.29,25.31,77.56
1458000,47.27,25.11,77.2
1460000,47.43,25.14,77.25
1462000,47.08,25.09,77.16
1464000,47.13,25.07,77.13
1466000,47.31,24.99,76.98
1468000,47.44,25.0,77.0
1470000,47.51,24.91,76.84
1472000,47.77,24.81,76.66
1474000,47.94,24.74,76.53
1476000,48.0,24.69,76.44
1478000,47.9,24.67,76.41
1480000,47.89,24.59,76.26
1482000,47.59,24.52,76.14
1484000,48.22,24.65,76.37
1486000,48.36,24.74,76.53
1488000,48.44,24.71,76.48
1490000,48.02,24.75,76.55
1492000,47.86,25.01,77.02
1494000,47.71,24.84,76.71
1496000,47.73,24.72,76.5
1498000,47.78,24.78,76.6
1500000,47.7,24.88,76.78
1502000,47.67,25.07,77.13
1504000,47.51,25.01,77.02
1506000,47.6,24.97,76.95
1508000,47.88,25.04,77.07
1510000,48.03,25.0,77.0
1512000,47.87,25.0,77.0
1514000,47.85,24.98,76.96
1516000,47.76,24.95,76.91
1518000,47.77,25.17,77.31
1520000,47.71,25.25,77.45
1522000,47.75,25.36,77.65
1524000,47.42,25.61,78.1
1526000,47.58,25.58,78.04
1528000,47.76,25.66,78.19
1530000,47.73,25.63,78.13
1532000,47.6,25.73,78.31
1534000,47.52,25.96,78.73
1536000,47.66,25.9,78.62
1538000,47.87,25.94,78.69
1540000,48.01,25.91,78.64
1542000,47.78,25.77,78.39
1544000,48.04,25.79,78.42
1546000,48.0,25.72,78.3
1548000,47.69,25.77,78.39
1550000,47.7,25.82,78.48
1552000,47.67,25.76,78.37
1554000,47.67,25.78,78.4
1556000,47.64,25.61,78.1
1558000,47.22,25.61,78.1
1560000,47.41,25.54,77.97
1562000,47.38,25.63,78.13
1564000,47.31,25.63,78.13
1566000,47.63,25.59,78.06
1568000,47.85,25.66,78.19
1570000,47.9,25.74,78.33
1572000,48.18,25.68,78.22
1574000,48.09,25.61,78.1
1576000,48.12,25.73,78.31
1578000,47.89,25.82,78.48
1580000,47.67,25.85,78.53
1582000,47.69,25.89,78.6
1584000,47.77,26.01,78.82
1586000,47.61,25.9,78.62
1588000,47.73,26.12,79.02
1590000,47.35,26.03,78.85
1592000,47.22,26.17,79.11
1594000,46.96,26.2,79.16
1596000,46.89,26.15,79.07
1598000,47.19,26.29,79.32
1600000,47.74,26.39,79.5
1602000,47.88,26.39,79.5
1604000,47.83,26.23,79.21
1606000,47.8,26.4,79.52
1608000,47.85,26.27,79.29
1610000,47.85,26.26,79.27
1612000,48.23,26.27,79.29
1614000,48.12,26.21,79.18
1616000,47.89,26.15,79.07
1618000,48.35,26.32,79.38
1620000,48.57,26.15,79.07
1622000,48.53,26.18,79.12
1624000,48.53,26.2,79.16
1626000,48.47,26.33,79.39
1628000,48.78,26.41,79.54
1630000,48.64,26.28,79.3
1632000,48.87,26.34,79.41
1634000,48.72,26.32,79.38
1636000,48.94,26.22,79.2
1638000,48.71,26.32,79.38
1640000,48.68,26.18,79.12
1642000,48.59,26.17,79.11
1644000,48.68,26.02,78.84
1646000,48.69,26.01,78.82
1648000,48.78,26.01,78.82
1650000,48.32,25.91,78.64
1652000,48.59,25.97,78.75
1654000,48.47,25.88,78.58
1656000,48.4,25.76,78.37
1658000,48.19,25.93,78.67
1660000,48.09,25.94,78.69
1662000,47.93,26.04,78.87
1664000,48.16,26.19,79.14
1666000,47.83,25.99,78.78
1668000,47.85,26.07,78.93
1670000,47.81,25.92,78.66
1672000,48.08,26.05,78.89
1674000,48.28,26.16,79.09
1676000,48.3,26.14,79.05
1678000,48.22,26.24,79.23
1680000,48.29,26.21,79.18
1682000,48.49,26.28,79.3
1684000,48.26,26.26,79.27
1686000,48.54,26.17,79.11
1688000,48.34,26.21,79.18
1690000,48.03,26.19,79.14
1692000,47.87,26.18,79.12
1694000,47.75,26.18,79.12
1696000,47.61,26.13,79.03
1698000,47.29,26.11,79.0
1700000,47.17,25.93,78.67
1702000,46.87,25.85,78.53
1704000,47.0,25.94,78.69
1706000,46.91,26.0,78.8
1708000,46.92,26.12,79.02
1710000,46.74,26.13,79.03
1712000,46.99,26.13,79.03
1714000,47.43,26.21,79.18
1716000,47.75,26.11,79.0
1718000,47.98,26.09,78.96
1720000,47.99,26.09,78.96
1722000,47.49,25.98,78.76
1724000,47.38,26.0,78.8
1726000,47.46,26.09,78.96
1728000,47.49,26.02,78.84
1730000,47.53,25.93,78.67
1732000,47.56,25.97,78.75
1734000,47.59,25.94,78.69
1736000,47.8,25.93,78.67
1738000,47.94,26.06,78.91
1740000,47.96,26.09,78.96
1742000,47.83,25.97,78.75
1744000,47.51,26.1,78.98
1746000,47.25,25.98,78.76
1748000,47.22,25.97,78.75
1750000,47.0,25.95,78.71
1752000,47.11,26.07,78.93
1754000,47.14,26.08,78.94
1756000,47.04,26.01,78.82
1758000,47.3,25.87,78.57
1760000,47.44,25.98,78.76
1762000,47.36,26.01,78.82
1764000,47.45,26.02,78.84
1766000,47.23,26.16,79.09
1768000,47.42,26.22,79.2
1770000,47.24,26.02,78.84
1772000,47.27,26.01,78.82
1774000,47.63,25.86,78.55
1776000,47.39,25.8,78.44
1778000,47.0,25.74,78.33
1780000,47.0,25.72,78.3
1782000,46.97,25.84,78.51
1784000,46.8,25.67,78.21
1786000,46.91,25.55,77.99
1788000,46.74,25.5,77.9
1790000,46.69,25.56,78.01
1792000,46.83,25.65,78.17
1794000,46.71,25.44,77.79
1796000,46.49,25.47,77.85
1798000,46.54,25.43,77.77
1800000,46.6,25.28,77.5
1802000,46.75,25.46,77.83
1804000,47.05,25.56,78.01
1806000,47.39,25.65,78.17
1808000,47.29,25.58,78.04
1810000,47.27,25.54,77.97
1812000,47.46,25.49,77.88
1814000,47.25,25.44,77.79
1816000,47.12,25.66,78.19
1818000,46.99,25.62,78.12
1820000,47.1,25.6,78.08
1822000,46.87,25.7,78.26
1824000,46.77,25.75,78.35
1826000,46.9,25.49,77.88
1828000,47.06,25.43,77.77
1830000,47.09,25.46,77.83
1832000,46.76,25.39,77.7
1834000,46.74,25.55,77.99
1836000,46.99,25.65,78.17
1838000,46.78,25.67,78.21
1840000,46.86,25.53,77.95
1842000,47.02,25.54,77.97
1844000,47.35,25.41,77.74
1846000,47.74,25.41,77.74
1848000,47.94,25.19,77.34
1850000,48.0,25.08,77.14
1852000,48.3,25.06,77.11
1854000,48.02,25.07,77.13
1856000,47.91,25.12,77.22
1858000,48.02,24.98,76.96
1860000,48.0,24.89,76.8
1862000,48.33,24.96,76.93
1864000,48.43,24.94,76.89
1866000,48.85,24.96,76.93
1868000,48.87,24.97,76.95
1870000,49.15,24.96,76.93
1872000,49.21,24.93,76.87
1874000,49.52,25.04,77.07
1876000,49.4,24.99,76.98
1878000,49.51,24.94,76.89
1880000,49.24,24.96,76.93
1882000,48.78,24.9,76.82
1884000,48.42,24.79,76.62
1886000,48.35,24.78,76.6
1888000,48.24,24.57,76.23
1890000,48.17,24.54,76.17
1892000,47.74,24.48,76.06
1894000,47.66,24.44,75.99
1896000,47.56,24.47,76.05
1898000,47.9,24.57,76.23
1900000,47.67,24.49,76.08
1902000,47.74,24.68,76.42
1904000,47.95,24.74,76.53
1906000,48.15,24.7,76.46
1908000,47.95,24.77,76.59
1910000,47.74,24.82,76.68
1912000,47.76,24.83,76.69
1914000,47.32,24.8,76.64
1916000,47.45,24.91,76.84
1918000,47.69,25.0,77.0
1920000,47.64,25.11,77.2
1922000,47.37,25.19,77.34
1924000,47.51,25.04,77.07
1926000,47.73,25.05,77.09
1928000,47.79,25.16,77.29
1930000,47.72,25.23,77.41
1932000,47.84,25.48,77.86
1934000,47.92,25.39,77.7
1936000,48.06,25.28,77.5
1938000,48.09,25.3,77.54
1940000,47.95,25.51,77.92
1942000,48.03,25.57,78.03
1944000,47.82,25.7,78.26
1946000,47.6,25.55,77.99
1948000,47.61,25.54,77.97
1950000,47.72,25.53,77.95
1952000,47.98,25.71,78.28
1954000,48.33,25.65,78.17
1956000,48.29,25.43,77.77
1958000,48.25,25.56,78.01
1960000,47.99,25.59,78.06
1962000,47.84,25.74,78.33
1964000,47.61,25.8,78.44
1966000,47.75,25.85,78.53
1968000,47.8,25.92,78.66
1970000,47.63,26.01,78.82
1972000,47.78,25.98,78.76
1974000,48.12,26.01,78.82
1976000,48.51,26.09,78.96
1978000,48.25,26.27,79.29
1980000,48.42,26.42,79.56
1982000,48.45,26.66,79.99
1984000,47.89,26.72,80.1
1986000,47.74,26.79,80.22
1988000,47.54,26.74,80.13
1990000,47.57,26.94,80.49
1992000,47.66,26.93,80.47
1994000,47.58,26.91,80.44
1996000,48.03,26.8,80.24
1998000,48.26,26.77,80.19
2000000,48.39,26.71,80.08
2002000,48.15,26.65,79.97
2004000,48.07,26.44,79.59
2006000,48.41,26.37,79.47
2008000,48.18,26.43,79.57
2010000,48.53,26.42,79.56
2012000,48.67,26.38,79.48
2014000,48.54,26.5,79.7
2016000,48.99,26.63,79.93
2018000,48.85,26.48,79.66
2020000,49.12,26.34,79.41
2022000,49.18,26.36,79.45
2024000,49.19,26.39,79.5
2026000,49.08,26.55,79.79
2028000,48.82,26.94,80.49
2030000,48.94,26.82,80.28
2032000,49.07,26.86,80.35
2034000,49.24,26.9,80.42
2036000,49.24,27.08,80.74
2038000,49.6,27.1,80.78
2040000,49.54,27.01,80.62
2042000,49.37,26.97,80.55
2044000,49.29,27.06,80.71
2046000,48.87,27.14,80.85
2048000,49.1,27.26,81.07
2050000,49.31,27.24,81.03
2052000,49.1,27.12,80.82
2054000,49.13,26.95,80.51
2056000,49.32,27.06,80.71
2058000,49.28,27.08,80.74
2060000,48.94,27.31,81.16
2062000,49.03,27.14,80.85
2064000,48.88,27.11,80.8
2066000,48.78,27.2,80.96
2068000,48.75,27.2,80.96
2070000,48.71,27.28,81.1
2072000,48.35,27.18,80.92
2074000,48.5,27.15,80.87
2076000,48.39,27.17,80.91
2078000,48.65,27.21,80.98
2080000,48.76,27.03,80.65
2082000,49.12,26.93,80.47
2084000,48.94,26.8,80.24
2086000,49.06,26.71,80.08
2088000,49.0,26.57,79.83
2090000,49.06,26.53,79.75
2092000,49.13,26.69,80.04
2094000,49.38,26.64,79.95
2096000,49.85,26.72,80.1
2098000,50.03,26.76,80.17
2100000,50.17,26.8,80.24
2102000,50.44,26.84,80.31
2104000,50.37,26.89,80.4
2106000,50.28,26.91,80.44
2108000,49.94,26.94,80.49
2110000,50.06,26.99,80.58
2112000,50.19,27.05,80.69
2114000,50.33,27.07,80.73
2116000,50.29,27.1,80.78
2118000,50.45,26.98,80.56
2120000,50.52,27.0,80.6
2122000,50.46,26.98,80.56
2124000,50.23,27.01,80.62
2126000,50.27,26.9,80.42
2128000,50.29,26.82,80.28
2130000,50.31,26.77,80.19
2132000,50.39,26.83,80.29
2134000,50.25,26.88,80.38
2136000,50.59,26.77,80.19
2138000,50.7,26.97,80.55
2140000,50.49,26.93,80.47
2142000,50.35,26.97,80.55
2144000,50.3,26.89,80.4
2146000,50.15,26.91,80.44
2148000,50.25,26.71,80.08
2150000,50.26,26.66,79.99
2152000,50.13,26.81,80.26
2154000,50.17,27.03,80.65
2156000,50.45,26.98,80.56
2158000,50.49,26.97,80.55
2160000,50.1,26.93,80.47
2162000,50.2,26.98,80.56
2164000,50.23,26.92,80.46
2166000,50.08,26.91,80.44
2168000,49.8,26.9,80.42
2170000,49.68,26.99,80.58
2172000,49.59,26.98,80.56
2174000,49.63,27.07,80.73
2176000,49.51,27.08,80.74
2178000,49.38,27.0,80.6
2180000,49.4,26.79,80.22
2182000,49.37,26.83,80.29
2184000,49.05,26.83,80.29
2186000,49.02,26.85,80.33
2188000,48.98,27.0,80.6
2190000,49.16,26.95,80.51
2192000,49.27,26.93,80.47
2194000,49.16,27.02,80.64
2196000,49.29,27.04,80.67
2198000,49.56,27.16,80.89
2200000,49.52,27.31,81.16
2202000,49.62,27.27,81.09
2204000,49.41,27.34,81.21
2206000,49.5,27.45,81.41
2208000,49.49,27.24,81.03
2210000,49.6,27.26,81.07
2212000,49.54,27.1,80.78
2214000,49.69,27.09,80.76
2216000,50.03,27.07,80.73
2218000,50.16,27.09,80.76
2220000,50.25,27.06,80.71
2222000,50.3,27.01,80.62
2224000,50.38,27.03,80.65
2226000,50.36,26.88,80.38
2228000,50.73,27.0,80.6
2230000,50.83,27.02,80.64
2232000,50.77,27.02,80.64
2234000,50.86,26.94,80.49
2236000,51.19,27.08,80.74
2238000,50.91,27.08,80.74
2240000,50.8,27.01,80.62
2242000,50.65,27.03,80.65
2244000,50.86,27.13,80.83
2246000,51.09,26.94,80.49
2248000,51.23,26.78,80.2
2250000,51.5,26.98,80.56
2252000,51.28,27.04,80.67
2254000,50.91,27.06,80.71
2256000,50.77,26.98,80.56
2258000,50.61,26.92,80.46
2260000,50.8,26.93,80.47
2262000,50.94,26.87,80.37
2264000,51.17,26.96,80.53
2266000,50.99,27.03,80.65
2268000,50.7,27.09,80.76
2270000,50.93,27.18,80.92
2272000,50.58,27.05,80.69
2274000,50.54,27.17,80.91
2276000,50.1,27.09,80.76
2278000,49.9,26.97,80.55
2280000,49.99,27.0,80.6
2282000,49.95,27.06,80.71
2284000,49.87,27.12,80.82
2286000,49.77,26.98,80.56
2288000,49.53,27.24,81.03
2290000,49.7,27.09,80.76
2292000,50.21,26.91,80.44
2294000,50.04,26.93,80.47
2296000,50.07,26.9,80.42
2298000,50.11,26.91,80.44
2300000,50.23,26.94,80.49
2302000,50.23,27.07,80.73
2304000,50.26,26.93,80.47
2306000,50.48,26.91,80.44
2308000,50.31,26.89,80.4
2310000,49.7,26.9,80.42
2312000,49.95,26.89,80.4
2314000,49.78,26.99,80.58
2316000,49.55,27.01,80.62
2318000,49.58,27.07,80.73
2320000,49.63,27.2,80.96
2322000,49.83,27.04,80.67
2324000,49.74,27.15,80.87
2326000,49.67,26.99,80.58
2328000,49.33,27.07,80.73
2330000,49.71,27.08,80.74
2332000,49.53,26.97,80.55
2334000,49.26,26.93,80.47
2336000,49.32,27.12,80.82
2338000,49.41,27.12,80.82
2340000,49.29,27.11,80.8
2342000,49.18,26.94,80.49
2344000,49.03,26.97,80.55
2346000,48.77,27.07,80.73
2348000,48.83,27.07,80.73
2350000,48.82,27.03,80.65
2352000,49.04,27.0,80.6
2354000,49.18,26.95,80.51
2356000,48.91,26.97,80.55
2358000,48.98,26.98,80.56
2360000,48.92,26.88,80.38
2362000,48.86,26.58,79.84
2364000,48.89,26.62,79.92
2366000,48.79,26.63,79.93
2368000,48.62,26.65,79.97
2370000,48.93,26.57,79.83
2372000,48.72,26.66,79.99
2374000,48.39,26.59,79.86
2376000,48.55,26.61,79.9
2378000,48.82,26.63,79.93
2380000,48.84,26.56,79.81
2382000,49.05,26.48,79.66
2384000,49.01,26.65,79.97
2386000,48.82,26.74,80.13
2388000,48.91,26.79,80.22
2390000,48.94,26.73,80.11
2392000,49.04,26.71,80.08
2394000,48.77,26.83,80.29
2396000,48.74,26.68,80.02
2398000,48.77,26.77,80.19
